,tags,counts,Percentile Rank
0,Business,3,0.19015151515151515
1,Insider,3,0.19015151515151515
2,BI,3,0.19015151515151515
3,UK,3,0.19015151515151515
4,Europe,3,0.19015151515151515
5,littleBits,3,0.19015151515151515
6,starwars,3,0.19015151515151515
7,inventorswanted,3,0.19015151515151515
8,droid,3,0.19015151515151515
9,thelastjedi,3,0.19015151515151515
10,r2d2,3,0.19015151515151515
11,r2d2toy,3,0.19015151515151515
12,toys,8,0.6358225108225108
13,holiday,10,0.7248917748917749
14,giftguide,3,0.19015151515151515
15,tech,142,0.9991341991341991
16,education,67,0.9929653679653679
17,forceawakens,3,0.19015151515151515
18,STM32,3,0.19015151515151515
19,exixe,3,0.19015151515151515
20,nixie tube,3,0.19015151515151515
21,nixie,3,0.19015151515151515
22,hardware,3,0.19015151515151515
23,arduino,67,0.9929653679653679
24,gps,3,0.19015151515151515
25,gnss,3,0.19015151515151515
26,raspberry pi,3,0.19015151515151515
27,hacker,10,0.7248917748917749
28,IN-14,3,0.19015151515151515
29,IN-12,3,0.19015151515151515
30,[none],174,0.9995670995670995
31,JavaScript,2,0.10313852813852814
32,Oscilloscope,2,0.10313852813852814
33,vectorscope,2,0.10313852813852814
34,audio,9,0.6803030303030303
35,WAV,2,0.10313852813852814
36,demo,2,0.10313852813852814
37,hackaday,5,0.379004329004329
38,engineering,58,0.9911255411255411
39,mechanical keyboard,5,0.379004329004329
40,design,31,0.966991341991342
41,hack,24,0.9445887445887445
42,maker,28,0.9593073593073593
43,maker space,5,0.379004329004329
44,hacker space,5,0.379004329004329
45,speks,4,0.2864718614718615
46,magnets,4,0.2864718614718615
47,stopmotion,4,0.2864718614718615
48,buckyballs,4,0.2864718614718615
49,pop art,4,0.2864718614718615
50,shape makers,4,0.2864718614718615
51,geometry,4,0.2864718614718615
52,magnet spheres,4,0.2864718614718615
53,design inspo,4,0.2864718614718615
54,nerds,4,0.2864718614718615
55,science,292,1.0
56,geeks,4,0.2864718614718615
57,getspeks,4,0.2864718614718615
58,old school,4,0.2864718614718615
59,stop motion,4,0.2864718614718615
60,Hackaday,5,0.379004329004329
61,AUV,1,0.03484848484848485
62,Open Source Underwater Glider,1,0.03484848484848485
63,ROV,1,0.03484848484848485
64,ocean research drone,1,0.03484848484848485
65,Hackaday Prize,1,0.03484848484848485
66,Samy Kamkar,4,0.2864718614718615
67,Superconference,4,0.2864718614718615
68,Reverse Engineer,4,0.2864718614718615
69,security,19,0.9208874458874459
70,interview,4,0.2864718614718615
71,jst iotexpert iot crimping,3,0.19015151515151515
72,MickMake,1,0.03484848484848485
73,electronics,62,0.9922077922077922
74,embedded,1,0.03484848484848485
75,diy,51,0.9866883116883117
76,how to,51,0.9866883116883117
77,tutorial,28,0.9593073593073593
78,project,12,0.7867965367965368
79,make,16,0.8965367965367965
80,explain,1,0.03484848484848485
81,explanation,8,0.6358225108225108
82,analyse,1,0.03484848484848485
83,make your own,1,0.03484848484848485
84,build,33,0.9703463203463204
85,review,125,0.9984848484848485
86,maker board,1,0.03484848484848485
87,programming,2,0.10313852813852814
88,MCU,1,0.03484848484848485
89,how-to,7,0.5646103896103896
90,do-it-yourself,1,0.03484848484848485
91,EasyEDA,1,0.03484848484848485
92,How to make a PCB,1,0.03484848484848485
93,Water bending,1,0.03484848484848485
94,“Bending water”,1,0.03484848484848485
95,Bending water,4,0.2864718614718615
96,controlling elements,4,0.2864718614718615
97,Avatar,4,0.2864718614718615
98,Plasma,4,0.2864718614718615
99,physics,85,0.9971861471861472
100,Science,79,0.9967532467532467
101,Discovery,4,0.2864718614718615
102,High Voltage,4,0.2864718614718615
103,“High Voltage”,4,0.2864718614718615
104,“Voltage multiplier”,4,0.2864718614718615
105,Tesla Coil,4,0.2864718614718615
106,Vandergraff Generator,4,0.2864718614718615
107,“Vandergraff Generator”,4,0.2864718614718615
108,Electrostatic,4,0.2864718614718615
109,“static electricity”,4,0.2864718614718615
110,Lightning,4,0.2864718614718615
111,Electronics,4,0.2864718614718615
112,Plasma globe,4,0.2864718614718615
113,“plasma globe”,4,0.2864718614718615
114,motor,28,0.9593073593073593
115,DIY,36,0.9770562770562771
116,do it yourself,8,0.6358225108225108
117,simple electric motor,1,0.03484848484848485
118,wire,1,0.03484848484848485
119,magnet wire,1,0.03484848484848485
120,engine,15,0.8711038961038962
121,science project,1,0.03484848484848485
122,science fair,1,0.03484848484848485
123,homemade,12,0.7867965367965368
124,Plasma Channel,1,0.03484848484848485
125,AM,4,0.2864718614718615
126,SSB,4,0.2864718614718615
127,amplitude modulation,5,0.379004329004329
128,single sideband,4,0.2864718614718615
129,ham radio,4,0.2864718614718615
130,radio,5,0.379004329004329
131,autodesk fusion 360 tutorial,3,0.19015151515151515
132,fusion 360 for beginners,3,0.19015151515151515
133,fusion 360 help,3,0.19015151515151515
134,autodesk fusion 360 guide,3,0.19015151515151515
135,learn auto desk fusion 360,3,0.19015151515151515
136,3d printing,19,0.9208874458874459
137,fusion 360 for 3d printing,3,0.19015151515151515
138,3d design,3,0.19015151515151515
139,Pipe Desk,3,0.19015151515151515
140,Pipe Desk in Fusion 360,3,0.19015151515151515
141,Design Brackets in Fusion 360,3,0.19015151515151515
142,flanges in Fusion 360,3,0.19015151515151515
143,3D printed hardware,3,0.19015151515151515
144,3D printed desk,3,0.19015151515151515
145,design a desk in Fusion 360,3,0.19015151515151515
146,nichrome,4,0.2864718614718615
147,nichrome wire,4,0.2864718614718615
148,resistance wire,4,0.2864718614718615
149,acrylic bending,4,0.2864718614718615
150,lexan bending,4,0.2864718614718615
151,electronics enclosure,4,0.2864718614718615
152,diy enclosure,4,0.2864718614718615
153,diy electronics enclosure,4,0.2864718614718615
154,plexiglass bending,4,0.2864718614718615
155,Furby,2,0.10313852813852814
156,ethincal hacking,2,0.10313852813852814
157,atx psu,1,0.03484848484848485
158,danger,1,0.03484848484848485
159,fire,24,0.9445887445887445
160,fuse,1,0.03484848484848485
161,fuses,1,0.03484848484848485
162,fusing,1,0.03484848484848485
163,led,1,0.03484848484848485
164,leds,1,0.03484848484848485
165,psu,1,0.03484848484848485
166,short circuit,26,0.9536796536796537
167,short circuits,1,0.03484848484848485
168,ws2812,1,0.03484848484848485
169,ws2812b,1,0.03484848484848485
170,thermocam,1,0.03484848484848485
171,dapulse,3,0.19015151515151515
172,monday.com,3,0.19015151515151515
173,monday,8,0.6358225108225108
174,project management,3,0.19015151515151515
175,Apple,29,0.9630952380952381
176,iDownloadBlog,2,0.10313852813852814
177,Andrew ohara,2,0.10313852813852814
178,iDB,2,0.10313852813852814
179,HomeKIt,2,0.10313852813852814
180,smart home,16,0.8965367965367965
181,CES,19,0.9208874458874459
182,CES 2018,10,0.7248917748917749
183,home automation,2,0.10313852813852814
184,Orbit,2,0.10313852813852814
185,B-hyve,2,0.10313852813852814
186,faucet,2,0.10313852813852814
187,watering system,2,0.10313852813852814
188,light,2,0.10313852813852814
189,switch,6,0.47153679653679653
190,outlet,2,0.10313852813852814
191,netatmo,2,0.10313852813852814
192,smoke detector,2,0.10313852813852814
193,camera,14,0.8462121212121212
194,thermostat,2,0.10313852813852814
195,elgato,2,0.10313852813852814
196,eve,2,0.10313852813852814
197,button,11,0.7570346320346321
198,room,2,0.10313852813852814
199,Kohler konnect,2,0.10313852813852814
200,DTV+,2,0.10313852813852814
201,Sensate faucet,2,0.10313852813852814
202,Moen,2,0.10313852813852814
203,u by moen,2,0.10313852813852814
204,koogeek,2,0.10313852813852814
205,belkin,2,0.10313852813852814
206,wemo,2,0.10313852813852814
207,wemo bridge,2,0.10313852813852814
208,iCreation,2,0.10313852813852814
209,lock,2,0.10313852813852814
210,nanoleaf,2,0.10313852813852814
211,remote,10,0.7248917748917749
212,Hue,2,0.10313852813852814
213,philips hue,2,0.10313852813852814
214,ConnectSense,2,0.10313852813852814
215,fibaro,2,0.10313852813852814
216,Brinks,2,0.10313852813852814
217,array,2,0.10313852813852814
218,idevices,2,0.10313852813852814
219,first alert,2,0.10313852813852814
220,onelink,2,0.10313852813852814
221,netgear,2,0.10313852813852814
222,arlo,2,0.10313852813852814
223,arlo baby cam,2,0.10313852813852814
224,augmented reality,6,0.47153679653679653
225,Javascript,1,0.03484848484848485
226,Raspberry Pi Robot Arm,2,0.10313852813852814
227,Robot Arm,2,0.10313852813852814
228,Stepper,2,0.10313852813852814
229,Stepper Motor,2,0.10313852813852814
230,Small Robot Arm,2,0.10313852813852814
231,DIY Robot,2,0.10313852813852814
232,DIY Robot Arm,2,0.10313852813852814
233,Arduino Robot Arm,2,0.10313852813852814
234,Sugar Cube,2,0.10313852813852814
235,Arduino Mega,2,0.10313852813852814
236,Movement Teaching,2,0.10313852813852814
237,Teaching,2,0.10313852813852814
238,Position,2,0.10313852813852814
239,Position Teaching,2,0.10313852813852814
240,record and play robotic arm,2,0.10313852813852814
241,weather,5,0.379004329004329
242,briefing,4,0.2864718614718615
243,noaa,4,0.2864718614718615
244,nws,4,0.2864718614718615
245,national,4,0.2864718614718615
246,wfo,4,0.2864718614718615
247,san,4,0.2864718614718615
248,diego,4,0.2864718614718615
249,NWS San Diego,4,0.2864718614718615
250,snow,4,0.2864718614718615
251,waves,4,0.2864718614718615
252,fire weather,4,0.2864718614718615
253,fire danger,4,0.2864718614718615
254,wind,4,0.2864718614718615
255,heat,15,0.8711038961038962
256,climate,4,0.2864718614718615
257,wet,4,0.2864718614718615
258,season,4,0.2864718614718615
259,santa ana,4,0.2864718614718615
260,monsoon,4,0.2864718614718615
261,floods,4,0.2864718614718615
262,fx3,1,0.03484848484848485
263,cypress,1,0.03484848484848485
264,usb,1,0.03484848484848485
265,3.0,1,0.03484848484848485
266,superspeed,1,0.03484848484848485
267,logic,1,0.03484848484848485
268,analyzer,1,0.03484848484848485
269,spite,1,0.03484848484848485
270,coding,1,0.03484848484848485
271,spitecoding,1,0.03484848484848485
272,Transportation,2,0.10313852813852814
273,Future,2,0.10313852813852814
274,Highways,2,0.10313852813852814
275,e-mobility,1,0.03484848484848485
276,transport,1,0.03484848484848485
277,logistics,6,0.47153679653679653
278,robotics,12,0.7867965367965368
